DATOS ARTIFICIALES PARA TUSUARIO

INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('58066588', 'Rosa', 'Torres Flores', 'rosa.torres87@hotmail.com', '9373974919');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('89655687', 'Elena', 'Díaz Torres', 'elena.diaz88@hotmail.com', '9053414937');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('55419674', 'Laura', 'Torres Pérez', 'laura.torres15@hotmail.com', '9729943180');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('57319324', 'David', 'Torres Vargas', 'david.torres57@outlook.com', '9669873634');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('97226848', 'Carlos', 'Sánchez Romero', 'carlos.sanchez54@hotmail.com', '9652406933');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('27889724', 'Lucía', 'Romero Espinoza', 'lucia.romero61@outlook.com', '9744689851');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('91054121', 'Camila', 'Rodríguez Ramos', 'camila.rodriguez60@gmail.com', '9996247592');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('99962351', 'Laura', 'Rojas López', 'laura.rojas82@gmail.com', '9206452596');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('63900957', 'Gabriel', 'Flores Mendoza', 'gabriel.flores45@gmail.com', '9637379590');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('43125084', 'Gabriel', 'Chavez Díaz', 'gabriel.chavez30@gmail.com', '9190430801');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('57176486', 'Camila', 'Chavez Torres', 'camila.chavez87@gmail.com', '9150687778');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('93238766', 'David', 'Pérez Sánchez', 'david.perez33@outlook.com', '9833510833');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('38182136', 'Luis', 'Rodríguez Sánchez', 'luis.rodriguez10@gmail.com', '9495587590');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('98296175', 'Laura', 'García Mendoza', 'laura.garcia96@outlook.com', '9807157433');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('91984036', 'Ana', 'Flores Vargas', 'ana.flores22@outlook.com', '9932380148');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('54252985', 'Juan', 'Gómez Ramos', 'juan.gomez88@hotmail.com', '9361660863');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('06012042', 'Elena', 'Chavez Vargas', 'elena.chavez18@hotmail.com', '9664811175');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('11270131', 'Elena', 'Mendoza Rojas', 'elena.mendoza38@outlook.com', '9020303782');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('83187865', 'María', 'Díaz López', 'maria.diaz67@hotmail.com', '9428655777');
INSERT INTO tUsuario (dni, nombres, apellidos, correo, telefono) VALUES ('57704787', 'Jorge', 'Mendoza Rojas', 'jorge.mendoza76@outlook.com', '9443714177');

DATOS ARTIFICIALES PARA TPERSONAL

INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('10234567', 'Carlos Alberto', 'Gómez Quispe', 'Supervisor', '987654321', 'Av. De la Cultura 1420, Cusco');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('20456789', 'Ana María', 'Mendoza Condori', 'Soporte Técnico', '912345678', 'Jr. Los Claveles H-12, San Jerónimo');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('30567890', 'Luis Fernando', 'Mamani Huamán', 'Técnico de Campo', '934567890', 'Urb. Progreso Av. Perú 405, Wanchaq');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('40678901', 'Diana Carolina', 'Paredes Cárdenas', 'Administrador', '956789012', 'Calle Matará 312, Centro Histórico');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('50789012', 'Jorge Luis', 'Ccahuana Tupa', 'Operador de Radio', '978901234', 'Psje. Santa Rosa Escalera 4, San Blas');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('60890123', 'Sofía Beatriz', 'Vargas Gutiérrez', 'Soporte Técnico', '990123456', 'Av. El Sol 802, Of. 301');
INSERT INTO tPersonal (dni, nombres, apellidos, cargo, telefono, direccion) VALUES ('70901234', 'Miguel Ángel', 'Yábar Palomino', 'Técnico de Campo', '923456789', 'Urb. Larapa Cl. Los Cedros M-2');

DATOS ARTIFICIALES PARA TEVENTO

INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (10, NULL, 'Reporte de bache en la vía principal.', 'incendio', 'upload//evento_1.jpg', POINT(-13.54013, -71.87655), 'Pendiente', '2026-08-19 08:51:05', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (10, NULL, 'Ruidos molestos en horario no permitido.', 'persona_sospechosa', 'upload//evento_18.jpg', POINT(-13.54613, -71.88164), 'Pendiente', '2026-08-19 09:46:16', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (12, 3, 'Ruidos molestos en horario no permitido.', 'emergencia_medica', 'upload//evento_19.jpg', POINT(-13.54021, -71.87398), 'Finalizado', '2026-08-17 16:12:44', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (6, 2, 'Mantenimiento preventivo solicitado para parque local.', 'incendio', 'upload//evento_20.jpg', POINT(-13.54707, -71.87808), 'Finalizado', '2026-08-13 09:33:07', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (14, 7, 'Luminaria pública parpadeando o apagada.', 'robo', 'upload//evento_21.jpg', POINT(-13.53685, -71.87170), 'En proceso', '2026-08-08 10:44:55', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (1, 4, 'Mantenimiento preventivo solicitado para parque local.', 'otro', 'upload//evento_22.jpg', POINT(-13.54045, -71.87893), 'Finalizado', '2026-08-21 15:15:25', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (9, NULL, 'Luminaria pública parpadeando o apagada.', 'accidente', 'upload//evento_23.jpg', POINT(-13.54880, -71.87124), 'Pendiente', '2026-08-23 15:56:59', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (12, 2, 'Acumulación de residuos sólidos en la esquina.', 'persona_sospechosa', 'upload//evento_24.jpg', POINT(-13.53983, -71.87430), 'En proceso', '2026-08-21 12:22:56', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (16, 1, 'Luminaria pública parpadeando o apagada.', 'emergencia_medica', 'upload//evento_25.jpg', POINT(-13.54433, -71.88489), 'En proceso', '2026-08-18 12:04:01', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (11, NULL, 'Acumulación de residuos sólidos en la esquina.', 'incendio', 'upload//evento_26.jpg', POINT(-13.53592, -71.88351), 'Pendiente', '2026-08-02 18:03:11', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (15, 6, 'Ruidos molestos en horario no permitido.', 'robo', 'upload//evento_27.jpg', POINT(-13.54384, -71.87329), 'En proceso', '2026-08-13 09:38:39', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (1, 6, 'Reporte de bache en la vía principal.', 'otro', 'upload//evento_28.jpg', POINT(-13.54741, -71.87231), 'En proceso', '2026-08-19 18:12:02', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (5, NULL, 'Acumulación de residuos sólidos en la esquina.', 'accidente', 'upload//evento_29.jpg', POINT(-13.54854, -71.87662), 'Pendiente', '2026-08-23 15:44:13', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (14, 6, 'Reporte de bache en la vía principal.', 'persona_sospechosa', 'upload//evento_30.jpg', POINT(-13.53657, -71.87880), 'En proceso', '2026-08-12 14:40:45', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (4, 5, 'Señal de tránsito dañada o caída.', 'emergencia_medica', 'upload//evento_31.jpg', POINT(-13.53621, -71.88662), 'Finalizado', '2026-08-05 19:56:02', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (2, NULL, 'Señal de tránsito dañada o caída.', 'incendio', 'upload//evento_32.jpg', POINT(-13.53536, -71.87500), 'Pendiente', '2026-08-01 09:46:22', FALSE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (11, 1, 'Ruidos molestos en horario no permitido.', 'robo', 'upload//evento_33.jpg', POINT(-13.53758, -71.88566), 'Finalizado', '2026-08-01 18:12:06', TRUE);
INSERT INTO tEvento (id_usuario, id_personal, descripcion, tipo, foto_path, coordenadas, estado, fecha_hora, fue_atendido) VALUES (8, 7, 'Mantenimiento preventivo solicitado para parque local.', 'otro', 'upload//evento_34.jpg', POINT(-13.54313, -71.87588), 'En proceso', '2026-08-25 14:19:11', FALSE);
